84,POINT (19.0182878308 50.2598227777)
1,POINT (19.0104754118 50.2544104322)
0,POINT (18.6767053662 50.2978425392)
4,POINT (19.0331563954 50.2578497681)
0,POINT (19.1267754893 50.281836103)
5,POINT (18.9591993159 50.2232944341)
19,POINT (18.9148006489 50.3451559898)
13,POINT (18.7836882371 50.3057661237)
2,POINT (19.0414295646 50.2600025013)
1,POINT (18.9727339889 50.2254463955)
0,POINT (19.0029456958 50.2686681325)
6,POINT (19.0348653344 50.2487154603)
5,POINT (19.1333768203 50.2711186847)
0,POINT (19.1338506245 50.2959004758)
4,POINT (18.9811051059 50.2763058627)
0,POINT (19.0492321952 50.2591464143)
0,POINT (18.671346404 50.291887372)
5,POINT (19.1325138009 50.2877780787)
1,POINT (18.804621486 50.3742776355)
1,POINT (18.953196995 50.29710838)
2,POINT (18.8639087243 50.446575227)
0,POINT (19.1194570722 50.2888776778)
2,POINT (18.6639974969 50.2933754277)
0,POINT (18.9948733924 50.2676133671)
0,POINT (18.9938041933 50.2301488867)
0,POINT (19.0565744014 50.2594597887)
4,POINT (19.01276855 50.2814684714)
4,POINT (19.187490194 50.324541791)
0,POINT (19.1284454545 50.319903)
0,POINT (19.1780130469 50.2682307734)
3,POINT (18.995559632 50.239639904)
0,POINT (18.9804939831 50.2339579492)
0,POINT (18.9652770614 50.2854800088)
1,POINT (18.9656085 50.13541175)
0,POINT (18.9000655455 50.1722527636)
0,POINT (18.9754495273 50.2115848545)
0,POINT (18.9795675364 50.2051960909)
2,POINT (18.9495275794 50.2786124206)
0,POINT (19.0542125545 50.269719703)
1,POINT (18.949721198 50.3073119901)
0,POINT (18.7892615556 50.3679159798)
0,POINT (18.9819059184 50.1228878367)
1,POINT (18.9371850211 50.2674717895)
0,POINT (18.9962034255 50.2134308723)
1,POINT (18.6882918132 50.2980333846)
1,POINT (18.7657507778 50.3108263333)
0,POINT (19.0121108315 50.2427814382)
0,POINT (19.0237834607 50.3028950225)
0,POINT (19.1434814023 50.2768142989)
0,POINT (19.0083462471 50.2921059647)
4,POINT (18.9876021687 50.2035052771)
0,POINT (18.9898750128 50.1165874744)
4,POINT (18.8339096579 50.2390837105)
1,POINT (19.0720151667 50.3184699306)
0,POINT (19.0816579722 50.2453442222)
1,POINT (18.6440251408 50.2986879577)
2,POINT (18.9354646197 50.2974540563)
0,POINT (18.9879380286 50.2128063143)
1,POINT (18.9720566377 50.261439058)
0,POINT (18.8849786087 50.3161336812)
0,POINT (18.8760781594 50.2830110435)
3,POINT (18.8637931765 50.2754103088)
7,POINT (19.1225799701 50.3295953881)
5,POINT (19.0024949254 50.3205632836)
0,POINT (18.7778642727 50.3138286364)
0,POINT (19.0049991231 50.3029863385)
2,POINT (19.1336899688 50.2439048281)
2,POINT (19.0160755238 50.2977037778)
0,POINT (18.8855569492 50.2672770847)
0,POINT (18.9786845424 50.2690378814)
0,POINT (18.8808264211 50.3018564561)
0,POINT (19.0467944107 50.1993725714)
0,POINT (18.9443296429 50.3765169643)
0,POINT (19.0050921786 50.2382219464)
0,POINT (18.7908233929 50.2924645357)
0,POINT (18.9782602321 50.1973534821)
0,POINT (18.8941385636 50.3365131273)
0,POINT (19.1817411852 50.2876135)
0,POINT (19.0007246226 50.1106197547)
0,POINT (18.8534395 50.3005417308)
0,POINT (18.7577150577 50.3054777885)
0,POINT (19.0732981176 50.469915098)
0,POINT (19.15498844 50.22048972)
0,POINT (18.8214547292 50.4442520625)
0,POINT (19.0653845957 50.2757304681)
0,POINT (19.2065613261 50.3251555217)
3,POINT (19.0921960909 50.2605320909)
0,POINT (18.8469272093 50.3676164186)
3,POINT (18.6187726977 50.3134657442)
0,POINT (18.8774463721 50.3966912791)
0,POINT (18.9392948571 50.3340268571)
0,POINT (18.6284774048 50.4002091429)
0,POINT (19.0785187561 50.2699429756)
0,POINT (19.1570162683 50.2923040976)
3,POINT (18.734524275 50.303356725)
0,POINT (18.6602225128 50.2784947692)
0,POINT (18.9742686842 50.1119086579)
0,POINT (18.9006642162 50.3985648919)
0,POINT (19.1496424722 50.2883456944)
0,POINT (18.8764502778 50.3164280556)
1,POINT (18.8517805429 50.314632)
0,POINT (18.819919 50.2960945143)
0,POINT (18.9852129118 50.1065754706)
0,POINT (18.6597537647 50.3209537059)
0,POINT (18.6831049706 50.2785004412)
0,POINT (19.1166354412 50.3174097941)
0,POINT (18.9189524242 50.2912163333)
0,POINT (18.7750462812 50.3261549687)
0,POINT (18.9261836563 50.2867694375)
3,POINT (19.0001875625 50.08941275)
1,POINT (19.1661572581 50.3188604839)
0,POINT (19.1776487333 50.322002)
0,POINT (18.7799671 50.3388271333)
0,POINT (18.6590483667 50.2335646)
0,POINT (18.9321972667 50.2542848333)
0,POINT (19.1104872333 50.2803813)
0,POINT (19.1589734138 50.2413845862)
0,POINT (19.220097931 50.3314631034)
0,POINT (18.8840302414 50.3849015862)
0,POINT (18.7040614483 50.3257064828)
0,POINT (18.9753528929 50.30481525)
0,POINT (18.7698450357 50.2962285714)
0,POINT (18.8408543571 50.3558047143)
0,POINT (19.0981717857 50.3028056429)
0,POINT (19.1517708571 50.2726528571)
0,POINT (18.9013256667 50.2538827037)
0,POINT (18.8079331852 50.2781345926)
0,POINT (18.9598455 50.3915101923)
0,POINT (18.79850928 50.47892696)
0,POINT (19.02974352 50.10219584)
1,POINT (18.66633372 50.31607504)
0,POINT (18.6870519167 50.3194373333)
0,POINT (18.7980580833 50.2981633333)
0,POINT (19.1037987917 50.2881500833)
2,POINT (19.19134475 50.2903295417)
0,POINT (19.0143266087 50.1018812174)
0,POINT (18.8522603043 50.4432685652)
0,POINT (19.1571122174 50.3248742174)
0,POINT (19.1051537391 50.3199076957)
0,POINT (19.2640243478 50.3414954783)
1,POINT (19.1873806087 50.3019494783)
0,POINT (18.8407412609 50.2433141739)
0,POINT (19.0643130435 50.2235141739)
0,POINT (18.63204 50.19283)
0,POINT (18.8098531818 50.2646081364)
0,POINT (18.8601771364 50.3064315909)
0,POINT (18.8669604091 50.4343813636)
0,POINT (18.9166035909 50.3026936818)
